日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-06-30,3017,奇鋐,未知,電子工業,2525.0,70.0,70,90,0,0.97,2010764,542922,-324,0,已抓,觀察型：等待更明確突破或量價確認,2423.0,2965.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨,籌碼無明顯風險,4.21,1.85,False
2026-06-30,1815,富喬,未知,電子零組件業,111.0,69.5,85,65,0,1.83,19466454,15321176,6607,347,已抓,偏多型：可觀察回測5日線或10日線,104.44,113.0,站上5日線、站上10日線、站上20日線、站上60日線、成交量放大、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超、融券增加，可能有軋空動能,融資大增，散戶追高風險,6.28,10.57,False
2026-06-30,2345,智邦,未知,通信網路業,2495.0,66.5,70,80,0,0.92,411524,724540,212,8,已抓,觀察型：等待更明確突破或量價確認,2394.0,2720.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,4.22,2.34,False
2026-06-30,3711,日月光投控,未知,半導體業,680.0,66.5,70,80,0,0.84,5764524,9542483,254,-10,已抓,觀察型：等待更明確突破或量價確認,646.6,700.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,5.17,12.22,False
2026-06-30,8046,南電,未知,電子零組件業,1185.0,65.0,90,50,20,0.27,-173870,9702279,82,68,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,1078.0,1145.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,波段乖離過大,法人近3日合計買超,法人單日賣超,9.93,28.87,True
2026-06-30,3037,欣興,未知,電子工業,1070.0,63.0,70,70,0,0.84,5933050,651262,560,-82,已抓,觀察型：等待更明確突破或量價確認,994.4,1100.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,融資增加，籌碼略偏雜,7.6,11.19,False
2026-06-30,2472,立隆電,未知,電子工業,453.5,61.5,100,30,40,1.69,-2748380,1636937,2266,90,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,400.0,432.5,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,法人近3日合計買超,法人單日賣超、融資大增，散戶追高風險,13.38,21.28,True
2026-06-30,4958,臻鼎-KY,未知,電子工業,630.0,61.2,70,65,0,0.8,4946210,-2377204,-740,184,已抓,觀察型：等待更明確突破或量價確認,594.4,654.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、融資減少，籌碼較乾淨,法人近3日合計賣超,5.99,11.09,False
2026-06-30,2409,友達,未知,光電業,32.7,57.5,70,60,20,1.35,93162252,205525139,1014,118,已抓,觀察型：等待更明確突破或量價確認,30.43,33.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,波段乖離過大,法人單日買超、法人近3日合計買超,融資大增，散戶追高風險,7.46,20.26,False
2026-06-30,3189,景碩,未知,半導體業,891.0,52.0,70,50,40,0.78,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,809.8,893.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,10.03,22.97,False
