日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-08-26,3081,聯亞,未知,通信網路業,3255.0,73.5,90,80,40,1.48,397387,142792,197,42,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,2936.0,3065.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,法人單日買超、法人近3日合計買超,籌碼無明顯風險,10.87,30.91,True
2026-08-26,3008,大立光,未知,光電業,6290.0,64.8,90,55,40,0.77,542,-236438,214,5,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,5704.0,5750.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,法人單日買超,法人近3日合計賣超,10.27,30.11,True
2026-08-26,8039,台虹,未知,電子工業,320.5,61.2,90,45,40,0.85,-281072,169077,348,1582,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,288.4,306.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,法人近3日合計買超、融券增加，可能有軋空動能,法人單日賣超、融資增加，籌碼略偏雜,11.13,32.53,True
2026-08-26,6213,聯茂,未知,電子工業,583.0,50.8,90,15,40,1.29,-3537269,-2622346,952,192,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,523.7,555.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,籌碼無明顯加分,法人單日賣超、法人近3日合計賣超、融資增加，籌碼略偏雜,11.32,36.05,True
2026-08-26,3443,創意,未知,半導體業,6125.0,75.5,90,80,20,1.01,275851,707827,-219,2,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,5658.0,5990.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,波段乖離過大,法人單日買超、法人近3日合計買超,籌碼無明顯風險,8.25,22.99,True
2026-08-26,1815,富喬,未知,電子零組件業,118.0,70.2,90,65,20,1.14,27402759,29313167,817,-618,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,110.7,115.5,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、收盤接近當日高點、今日收漲,波段乖離過大,法人單日買超、法人近3日合計買超,融資增加，籌碼略偏雜、融券回補，短線軋空力道可能減弱,6.59,29.05,True
2026-08-26,2059,川湖,未知,電子工業,14510.0,54.0,70,50,20,0.85,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,14103.0,15085.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,波段乖離過大,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,2.89,22.17,False
2026-08-26,2615,萬海,未知,航運業,115.0,37.5,40,50,20,0.96,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,120.8,134.5,站上10日線、站上20日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-4.8,17.9,False
2026-08-26,2609,陽明,未知,航運業,57.6,29.2,25,50,20,0.9,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,62.0,67.3,站上20日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-7.1,5.47,False
2026-08-26,6488,環球晶,未知,半導體業,949.0,23.8,15,50,20,0.99,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,974.6,1120.0,站上20日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-2.63,1.64,False
2026-08-26,2327,國巨*,未知,電子工業,537.0,21.0,10,50,20,0.92,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,549.6,668.0,收盤接近當日高點,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-2.29,-5.36,False
