日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-06-24,2481,強茂,未知,半導體業,195.0,62.2,95,40,40,2.08,-3351571,11051681,691,-208,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,174.0,193.5,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、今日收漲,短線乖離過大、波段乖離過大,法人近3日合計買超,法人單日賣超、融資增加，籌碼略偏雜,12.07,25.44,True
2026-06-24,2303,聯電,未知,半導體業,178.0,51.8,95,10,40,1.7,-10496057,-5921309,7966,362,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,158.7,176.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、今日收漲,短線乖離過大、波段乖離過大,融券增加，可能有軋空動能,法人單日賣超、法人近3日合計賣超、融資大增，散戶追高風險,12.16,26.87,True
2026-06-24,2492,華新科,未知,電子工業,590.0,59.2,70,65,20,0.13,932954,-1367090,-345,-223,已抓,觀察型：等待更明確突破或量價確認,577.4,645.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,波段乖離過大,法人單日買超、融資減少，籌碼較乾淨,法人近3日合計賣超,2.18,28.93,False
2026-06-24,3481,群創,未知,光電業,69.4,48.5,60,50,20,1.4,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,64.88,70.1,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,波段乖離過大,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,6.97,26.74,False
2026-06-24,1303,南亞,未知,塑膠工業,156.0,48.5,60,50,20,0.62,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,145.7,165.0,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,波段乖離過大,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,7.07,36.36,False
2026-06-24,0050,元大台灣50,未知,ETF,107.15,45.8,55,50,20,1.78,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,108.34,112.3,站上10日線、站上20日線、站上60日線、成交量放大,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-1.1,2.2,False
2026-06-24,2383,台光電,未知,電子工業,5560.0,43.0,50,50,20,0.85,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,5577.0,6045.0,站上10日線、站上20日線、站上60日線、收盤接近當日高點,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-0.3,8.29,False
2026-06-24,2327,國巨*,未知,電子工業,1050.0,41.8,70,15,20,0.8,-2076356,-700665,414,-73,已抓,觀察型：等待更明確突破或量價確認,1039.8,1120.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,波段乖離過大,籌碼無明顯加分,法人單日賣超、法人近3日合計賣超、融資增加，籌碼略偏雜,0.98,21.17,False
2026-06-24,2330,台積電,未知,半導體業,2390.0,37.5,40,50,20,1.45,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,2437.0,2535.0,站上10日線、站上20日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-1.93,1.2,False
2026-06-24,2408,南亞科,未知,半導體業,443.5,37.5,40,50,20,0.94,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,459.9,505.0,站上10日線、站上20日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-3.57,13.57,False
2026-06-24,2344,華邦電,未知,半導體業,205.0,37.5,40,50,20,0.85,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,211.2,233.5,站上10日線、站上20日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-2.94,15.22,False
2026-06-24,4958,臻鼎-KY,未知,電子工業,587.0,29.2,25,50,20,0.72,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,615.4,654.0,站上20日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-4.61,6.36,False
2026-06-24,2301,光寶科,未知,電子工業,216.5,29.2,25,50,20,0.99,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,218.4,262.0,站上10日線、站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-0.87,-3.56,False
2026-06-24,2454,聯發科,未知,半導體業,4285.0,21.0,10,50,20,1.2,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,4427.0,4970.0,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-3.21,-2.44,False
