日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-07-20,6505,台塑化,未知,油電燃氣業,77.7,58.0,55,85,20,1.02,11117302,34721219,-90,380,已抓,暫不進場：分數不足或風險偏高,75.6,84.0,站上5日線、站上10日線、站上20日線、站上60日線,波段乖離過大,法人單日買超、法人近3日合計買超、融券增加，可能有軋空動能,籌碼無明顯風險,2.78,26.55,False
2026-07-20,1303,南亞,未知,塑膠工業,186.5,45.0,25,95,20,0.83,6610168,616238,-5953,3885,已抓,暫不進場：分數不足或風險偏高,208.8,230.0,站上20日線、站上60日線,跌破5日線,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨、融券增加，可能有軋空動能,籌碼無明顯風險,-10.68,3.05,False
2026-07-20,3481,群創,未知,光電業,50.4,36.8,10,95,20,1.06,11462992,43053823,-21578,1324,已抓,暫不進場：分數不足或風險偏高,55.2,72.6,站上60日線,跌破5日線,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨、融券增加，可能有軋空動能,籌碼無明顯風險,-8.7,-20.93,False
2026-07-20,8039,台虹,未知,電子零組件業,193.0,36.2,60,15,20,1.22,-3397502,-388621,586,-65,已抓,觀察型：等待更明確突破或量價確認,190.4,201.0,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,波段乖離過大,籌碼無明顯加分,法人單日賣超、法人近3日合計賣超、融資增加，籌碼略偏雜,1.37,22.0,False
2026-07-20,6213,聯茂,未知,電子工業,322.5,35.5,30,60,20,1.57,-1932461,2281710,-825,-16,已抓,暫不進場：分數不足或風險偏高,330.0,424.5,站上60日線、成交量放大、今日收漲,跌破5日線,法人近3日合計買超、融資減少，籌碼較乾淨,法人單日賣超,-2.27,-7.51,False
2026-07-20,6488,環球晶,未知,半導體業,1265.0,35.5,30,60,20,0.92,-1392465,2728926,-2342,99,已抓,暫不進場：分數不足或風險偏高,1374.0,1600.0,站上20日線、站上60日線、今日收漲,跌破5日線,法人近3日合計買超、融資減少，籌碼較乾淨,法人單日賣超,-7.93,5.3,False
2026-07-20,2303,聯電,未知,半導體業,130.0,25.8,25,40,20,1.78,-38765679,-115048580,-11283,8887,已抓,暫不進場：分數不足或風險偏高,150.2,185.5,站上60日線、成交量放大,跌破5日線,融資減少，籌碼較乾淨、融券增加，可能有軋空動能,法人單日賣超、法人近3日合計賣超,-13.45,-19.47,False
2026-07-20,8150,南茂,未知,電子工業,103.0,22.8,10,55,20,0.58,-689662,14473464,-1942,-782,已抓,暫不進場：分數不足或風險偏高,110.8,125.0,站上60日線,跌破5日線,法人近3日合計買超、融資減少，籌碼較乾淨,法人單日賣超、融券回補，短線軋空力道可能減弱,-7.04,-3.94,False
2026-07-20,3711,日月光投控,未知,半導體業,597.0,21.0,10,50,20,1.17,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,643.4,729.0,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-7.21,-9.55,False
2026-07-20,8046,南電,未知,電子工業,1105.0,21.0,10,50,20,0.94,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,1247.0,1415.0,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-11.39,-2.2,False
