群組,期間,成熟樣本數,勝率%,平均報酬%,中位數報酬%,最大報酬%,最小報酬%
Top 5,1交易日,110,54.5,0.77,0.78,10.0,-9.97
Top 5,3交易日,95,45.3,0.69,-0.33,32.61,-17.57
Top 5,5交易日,85,36.5,0.39,-2.41,36.4,-22.29
Top 10,1交易日,220,51.8,0.86,0.29,10.0,-10.0
Top 10,3交易日,190,46.3,1.08,-0.54,32.61,-22.11
Top 10,5交易日,170,41.2,0.45,-2.31,39.62,-29.39
